# report v0.1.0 (Apr 13, 2023)
# Database: MetaSBT-Viruses
# Timestamp: 2023-04-17 15:13:36
# Cluster	Lineage	MAGs	Reference genomes	Bloom Filter Density	Mean completeness	Mean contamination	Mean strain heterogeneity
MSBT2269	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Kurlavirus_BKC_1	0	1	0.279905	na	na	na
MSBT2563	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Marseillevirus_Shanghai_1	0	1	0.279347	na	na	na
MSBT2085	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Golden_Marseillevirus	0	1	0.282513	na	na	na
MSBT2140	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Tokyovirus_A1	0	1	0.278632	na	na	na
MSBT2129	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Brazilian_marseillevirus	0	1	0.277319	na	na	na
MSBT1986	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Melbournevirus	0	1	0.279916	na	na	na
MSBT1875	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Marseilleviridae|g__Marseillevirus|s__Cannes_8_virus	0	1	0.279483	na	na	na
MSBT2535	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Trichoplusia_ni_ascovirus_6b	0	1	0.228534	na	na	na
MSBT2719	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Heliothis_virescens_ascovirus_3i	0	1	0.26687	na	na	na
MSBT706	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Spodoptera_frugiperda_ascovirus_1a	0	1	0.221404	na	na	na
MSBT705	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Heliothis_virescens_ascovirus_3a	0	5	0.316342	na	na	na
MSBT1116	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Pimascovirales|f__Ascoviridae|g__Ascovirus|s__Trichoplusia_ni_ascovirus_2c	0	1	0.219122	na	na	na
MSBT381	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Phaeovirus|s__Ectocarpus_siliculosus_virus_1	0	1	0.311398	na	na	na
MSBT2841	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Chrysochromulina_parva_virus	0	1	0.228687	na	na	na
MSBT1006	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus	0	2	0.281719	na	na	na
MSBT1510	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus_12T	0	1	0.281643	na	na	na
MSBT1511	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Prymnesiovirus|s__Phaeocystis_globosa_virus_14T	0	1	0.280585	na	na	na
MSBT667	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Raphidovirus|s__Heterosigma_akashiwo_virus_01	0	1	0.212536	na	na	na
MSBT843	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_203	0	1	0.310289	na	na	na
MSBT845	k__Viruses|p__Nucleocytoviricota|c__Megaviricetes|o__Algavirales|f__Phycodnaviridae|g__Coccolithovirus|s__Emiliania_huxleyi_virus_208	0	1	0.311327	na	na	na
